ID,Recorder,Start Min,Start Max,End Min,End Max,PRFA Sex,Comments
115,2,5/10/24 8:00 PM,5/10/24 7:00 PM,5/10/24 9:00 PM,5/10/24 9:59 PM,1,
116,2,5/10/24 11:00 PM,5/10/24 10:00 PM,5/11/24 6:00 AM,5/11/24 6:15 AM,1,
117,2,5/11/24 7:00 AM,5/11/24 6:27 AM,5/11/24 11:00 AM,5/11/24 11:11 AM,1,
118,2,5/11/24 12:00 PM,5/11/24 11:46 AM,5/11/24 12:00 PM,5/11/24 12:08 PM,2,
119,2,5/11/24 1:00 PM,5/11/24 12:08 PM,5/11/24 1:00 PM,5/11/24 1:59 PM,1,
120,2,5/11/24 3:00 PM,5/11/24 2:27 PM,5/11/24 3:00 PM,5/11/24 3:43 PM,1,
121,2,5/11/24 4:00 PM,5/11/24 3:43 PM,5/11/24 6:00 PM,5/11/24 6:19 PM,2,
122,2,5/11/24 7:00 PM,5/11/24 6:19 PM,5/11/24 7:00 PM,5/11/24 7:59 PM,1,
123,2,5/11/24 9:00 PM,5/11/24 8:30 PM,5/12/24 6:00 AM,5/12/24 6:12 AM,1,
124,2,5/12/24 7:00 AM,5/12/24 6:12 AM,5/12/24 8:00 AM,5/12/24 8:53 AM,1,
125,2,5/12/24 10:00 AM,5/12/24 9:00 AM,5/12/24 10:16 AM,5/12/24 10:47 AM,1,
127,2,5/12/24 11:00 AM,5/12/24 10:50 AM,5/12/24 11:00 AM,5/12/24 11:26 AM,1,
128,2,5/12/24 12:00 PM,5/12/24 11:26 AM,5/12/24 2:00 PM,5/12/24 12:57 PM,1,
129,2,5/12/24 4:00 PM,5/12/24 3:58 PM,5/12/24 4:00 PM,5/12/24 4:31 PM,1,
130,2,5/12/24 5:00 PM,5/12/24 4:31 PM,5/12/24 5:00 PM,5/12/24 5:07 PM,2,
131,2,5/12/24 8:00 PM,5/12/24 7:02 PM,5/12/24 8:00 PM,5/12/24 8:40 PM,2,
132,2,5/12/24 10:00 PM,5/12/24 9:00 PM,5/13/24 6:00 AM,5/13/24 6:13 AM,1,
133,2,5/13/24 7:00 AM,5/13/24 6:13 AM,5/13/24 7:00 AM,5/13/24 7:10 AM,1,
134,2,5/13/24 8:00 AM,5/13/24 7:30 AM,5/13/24 8:00 AM,5/13/24 8:26 AM,1,
135,2,5/13/24 10:00 AM,5/13/24 9:00 AM,5/13/24 10:00 AM,5/13/24 10:07 AM,1,
136,2,5/13/24 12:00 PM,5/13/24 11:00 AM,5/13/24 1:00 PM,5/13/24 1:47 PM,2,
137,2,5/13/24 3:00 PM,5/13/24 2:00 PM,5/13/24 3:00 PM,5/13/24 3:58 PM,1,
138,2,5/13/24 4:00 PM,5/13/24 3:58 PM,5/13/24 4:00 PM,5/13/24 4:38 PM,2,
139,2,5/13/24 5:00 PM,5/13/24 4:58 PM,5/13/24 6:00 PM,5/13/24 6:33 PM,1,
140,2,5/13/24 7:00 PM,5/13/24 6:33 PM,5/13/24 7:00 PM,5/13/24 7:32 PM,1,
141,2,5/13/24 8:00 PM,5/13/24 7:32 PM,5/13/24 9:00 PM,5/13/24 9:31 PM,1,
142,2,5/13/24 10:00 PM,5/13/24 9:31 PM,5/14/24 3:00 AM,5/14/24 3:58 AM,1,
143,2,5/14/24 1:00 PM,5/14/24 12:50 PM,5/14/24 1:00 PM,5/14/24 1:02 PM,2,
144,2,5/14/24 2:00 PM,5/14/24 1:38 PM,5/14/24 2:00 PM,5/14/24 2:17 PM,2,
145,2,5/14/24 3:00 PM,5/14/24 2:52 PM,5/14/24 4:00 PM,5/14/24 4:01 PM,2,
146,2,5/14/24 5:00 PM,5/14/24 4:35 PM,5/14/24 5:00 PM,5/14/24 5:18 PM,1,
147,2,5/14/24 6:00 PM,5/14/24 5:18 PM,5/14/24 8:00 PM,5/14/24 8:09 PM,2,
